Date,City,Country,Temperature,Humidity,Pressure,Weather,Wind Speed,Latitude,Longitude
2024-04-19 23:03:35,Abidjan,CI,29.98,84,1010,few clouds,3.09,5.3094,-4.0197
2024-04-19 23:03:36,Abu Dhabi,AE,25.34,73,1009,clear sky,1.54,24.4667,54.3667
2024-04-19 23:03:36,Abuja,NG,31.12,43,1009,broken clouds,2.52,9.0574,7.4898
2024-04-19 23:03:37,Accra,GH,29.2,79,1010,overcast clouds,5.63,5.556,-0.1969
2024-04-19 23:03:38,Adelaide,AU,9.62,85,1030,few clouds,2.57,-34.9333,138.6
2024-04-19 23:03:38,Ahmedabad,IN,29.02,37,1006,smoke,3.6,23.0333,72.6167
2024-04-19 23:03:39,Alexandria,EG,18.37,70,1013,clear sky,2.59,31.2156,29.9553
2024-04-19 23:03:39,Algiers,DZ,11.9,67,1019,clear sky,2.06,36.7525,3.042
2024-04-19 23:03:40,Almaty,KZ,9.95,87,1010,few clouds,2,43.25,76.95
2024-04-19 23:03:41,Amman,JO,16.05,72,1014,broken clouds,0,31.9552,35.945
2024-04-19 23:03:41,Amsterdam,NL,6.81,80,1014,scattered clouds,7.72,52.374,4.8897
2024-04-19 23:03:42,Ankara,TR,13.51,47,1007,broken clouds,2.67,39.9199,32.8543
2024-04-19 23:03:42,Antananarivo,MG,15.98,100,1020,few clouds,2.06,-18.9137,47.5361
2024-04-19 23:03:43,Antwerp,BE,6.92,77,1016,few clouds,6.69,51.2199,4.4035
2024-04-19 23:03:44,Aqaba,JO,23,55,1011,clear sky,4.72,29.5267,35.0078
2024-04-19 23:03:44,Asuncion,PY,25.73,58,1012,clear sky,1.95,-25.3007,-57.6359
2024-04-19 23:03:45,Athens,GR,14.36,88,1002,broken clouds,1.79,37.9795,23.7162
2024-04-19 23:03:46,Atlanta,US,27.98,59,1014,few clouds,1.79,33.749,-84.388
2024-04-19 23:03:46,Auckland,NZ,17.48,78,1014,moderate rain,5.36,-36.8667,174.7667
